fast_ma,slow_ma,sharpe,n_trades,min_holding_days,max_holding_days
5,10,1.5968893131604947,381,1,72
5,20,1.4351687426388218,213,1,71
5,35,1.415688361818905,152,1,130
5,50,1.3019011931629905,112,1,196
5,100,1.1299664359502573,79,1,306
10,20,0.9947844338812304,184,1,92
10,35,1.128048301233957,117,1,131
10,50,0.9875610444591778,87,1,193
10,100,0.8682775156347081,56,1,305
20,35,0.744233855966914,109,2,166
20,50,0.827794036964561,69,1,189
20,100,0.7983026036760116,45,3,304
35,50,0.6850041294922686,80,3,173
35,100,0.7182547066067214,37,1,315
50,100,0.6526737362230711,36,15,319
