fast_ma,slow_ma,sharpe,n_trades,min_holding_days,max_holding_days
5,10,1.772074655114865,366,1,51
5,20,1.4248699869388952,217,1,94
5,35,1.3726923148167176,135,1,135
5,50,1.2315375216506277,106,1,133
5,100,1.0072850872914068,77,1,232
10,20,1.022065620156017,186,1,95
10,35,0.8825112291578063,112,1,138
10,50,0.9370959973350685,87,1,174
10,100,0.7627238296309373,53,1,254
20,35,0.8241519079997951,104,1,135
20,50,0.6952718270788226,74,3,174
20,100,0.6903204060236272,45,2,300
35,50,0.6105119791549061,77,2,181
35,100,0.7136785485112689,40,1,376
50,100,0.5598333849720303,40,1,448
